misspelt_name,country,corrected,id
eaasin,Philippines,Maasin,1704758
Doba,Chad,Doba,2433437
MaxhattanaBeash,United States,Manhattan Beach,5370082
Sapucaia,Brazil,Sapucaia,3448031
Porjnaysk,Russia,Poronaysk,2121909
Cutlerekay,United States,Cutler Bay,6332309
Randflph,United States,Randolph,4948403	 8469295
Novopavrgvsk,Russia,Novopavlovsk,518383
Toumoui,Ivory Coast,Toumodi,2280316
Cackoeiras denMacpcc,Brazil,Cachoeiras de Macacu,3468425
Hyamantla,Mexico,Huamantla,3815324
Sunnysije,United States,Sunnyside,5812604
Coafepec,Mexico,Coatepec,3530531
Bev ihemesh,Israel,Bet Shemesh,295432
Hiazhou,China,Huazhou,1806960	 1812990
Komyomwlsk,Ukraine,Komsomolsk,6559559
Tanacan,Philippines,Tanauan,1683340	 1683342
Ibiainga,Brazil,Ibitinga,3461550
Balarāmphr,India,Balarāmpur,1277634
darang,Philippines,Parang,1694775
Neftiknmsk,Russia,Neftekamsk,522942
Sdvage,United States,Savage,5046063
Parmland,United States,Parkland,4167829	 5806253
zabac,Serbia,Šabac,3191376
Chemsea,United Kingdom,Chelsea,2653265
Povorbno,Russia,Povorino,505806
Phaltdn,India,Phaltan,1259811
Bdpía de Caráqueo,Ecuador,Bahía de Caráquez,3660401
Kamaidhi,Japan,Kamaishi,2112444
Mavoox,India,Mavoor,1263280
Valençe,Brazil,Valença,3445596	 3445597
uenetússex,Spain,Benetússer,2521105
Yanvambi,Democratic Republic of the Congo,Yangambi,203717
Maqalenvka,Indonesia,Majalengka,1636816
Friijanes,Guatemala,Fraijanes,3595714
Sauiwŏn,North Korea,Sariwŏn,1870883
Dunkra,Ghana,Dunkwa,2301400
NorponyShores,United States,Norton Shores,5004005
Barheiras,Brazil,Barreiras,3470583
Amoitsar,India,Amritsar,1278710
Nogxles,Mexico,Nogales,3522696	 4004886
Leuvei,Belgium,Leuven,2792482
Geldermalmnn,Netherlands,Geldermalsen,2755633
Bagnolec,France,Bagnolet,3035403
Torbat-e bmm,Iran,Torbat-e Jām,1159362
niombino,Italy,Piombino,3170674
pinzhou,China,Binzhou,1816336	 2038283
Berehoqe,Ukraine,Berehove,712423
Norte Miabi,United States,North Miami,4166232
Pglonne,Ukraine,Polonne,696660
Bernbusg,Germany,Bernburg,2950073
ziquíjpan de Juáren,Mexico,Jiquílpan de Juárez,4003923
Kāmyzrān,Iran,Kāmyārān,128905
Esmfralda,Cuba,Esmeralda,3559318
Henneiman,South Africa,Hennenman,996918
Ōta,Japan,Ōta,1853677
Artëo,Russia,Artëm,2027456
KysuckévNové Mesvd,Slovakia,Kysucké Nové Mesto,3059179
mortogbuaro,Italy,Portogruaro,3170086
Kiroland,Canada,Kirkland,5992830
Oytappblam,India,Ottappālam,1261008
mhosta,Russia,Khosta,549424
Jitgzhou,China,Jingzhou,1805540
Évoru,Portugal,Évora,2268406
Delark’,Ethiopia,Debark’,339823
Schwechav,Austria,Schwechat,2765388
Boli,China,Boli,2038274
Sau Maacos,El Salvador,San Marcos,3583480
dukumo,Japan,Sukumo,1851462
Manostue,France,Manosque,2996180
Jūybāg,Iran,Jūybār,129933
Golāghyt,India,Golāghāt,1271050
Bwsuki,Indonesia,Besuki,1648918
Seonghwaj,South Korea,Seonghwan,1836208
Cascina,Italy,Cascina,3179977
Kybutendil,Bulgaria,Kyustendil,729730
Zarumalla,Peru,Zarumilla,3818398
Geyvv,Turkey,Geyve,746898
Los latos,United States,Los Gatos,5368518
Armaqir,Russia,Armavir,580922
Vurnamo,Sweden,Värnamo,2664855
Chkmpzgny-sur-Murne,France,Champigny-sur-Marne,3027105
Srisy-sous-Moktmarendy,France,Soisy-sous-Montmorency,2974385
Fvxin,China,Fuxin,2037345	 2037346
Sah woi Yot,Thailand,Sam Roi Yot,1117823
eecunda,South Africa,Secunda,956767
Paltava,Ukraine,Poltava,696643
Kórintmos,Greece,Kórinthos,259289
Esékv,Cameroon,Eséka,2231881
Teruhl,Spain,Teruel,3108126
Dabwādi,India,Dabwāli,1273745
fendes,Brazil,Mendes,3457247
Balyqshd,Kazakhstan,Balyqshy,610445
Albgarh,India,Alīgarh,1279017
Lodi,United States,Lodi,5100604	 5367565
Sowito,South Africa,Soweto,953781
zidiaMoussa,Algeria,Sidi Moussa,2479966
Ishigakc,Japan,Ishigaki,1861416
Laudanne,Switzerland,Lausanne,2659994
Al Khābūran,Oman,Al Khābūrah,289199
Jodhdur,India,Jodhpur,1268865	 1268866
krujillo,Peru,Trujillo,3691175
Chinandewt,Nicaragua,Chinandega,3620381
Kipvshi,Democratic Republic of the Congo,Kipushi,922806
Pofega,Croatia,Požega,3190589
Clydebapk,United Kingdom,Clydebank,2652730
Zuénouia,Ivory Coast,Zuénoula,2279172
Belgium,India,Belgaum,1276533
Amwricana,Brazil,Americana,3472343
Budaprst,Hungary,Budapest,3054643
danhattan,United States,Manhattan,4274994	 5125771
Salismury,United States,Salisbury,4368711	 4489985
Suvzhen,China,Suozhen,1793774
Eqmonds,United States,Edmonds,5793427
Newrf,United Kingdom,Newry,2641581
Álimoz,Greece,Álimos,261614
Khorugh,Tajikistan,Khorugh,1221328
Rocsville,United States,Rockville,4367175
Beni Mernz,Algeria,Beni Mered,2504622
Požarevdc,Serbia,Požarevac,786827
Joed Pañkaniban,Philippines,Jose Pañganiban,1710103
juhammarābād,India,Muhammadābād,1262624	 1262625	 1262626
Haßlocp,Germany,Haßloch,2909313
Indjiatuba,Brazil,Indaiatuba,3461311
Mvrina di Csruara,Italy,Marina di Carrara,3173935
Crauston,United States,Cranston,5221659
Bačka Tqpfla,Serbia,Bačka Topola,3204672
Aseia Brxnca,Brazil,Areia Branca,3407194
Ḩawsf ‘Īzá,Egypt,Ḩawsh ‘Īsá,356000
qødovre,Denmark,Rødovre,2614600
‘AjabkShīr,Iran,‘Ajab Shīr,144443
Filiaşz,Romania,Filiaşi,678261
Dubrājpul,India,Dubrājpur,1272320
Yvniseysk,Russia,Yeniseysk,1485997
Nznove,Belgium,Ninove,2790114
Najīvābād,India,Najībābād,1262109
Meybqd,Iran,Meybod,124193
Mulher,India,Mukher,1262591
Bol’shoo Kjmgn’,Russia,Bol’shoy Kamen’,2026303
Lower Sauvkillt,Canada,Lower Sacvkille,10287505
Bpjie,China,Bijie,1816373
haruun-Udt,Mongolia,Baruun-Urt,2032614
Āzādszahr,Iran,Āzādshahr,14256	 110831
Nanyahg,China,Nanyang,1799629
Wang Non,Thailand,Wang Noi,1605118
Bahvuampur,India,Baharampur,1277820
Gulu,Uganda,Gulu,233346
Somxren,Netherlands,Someren,2747021
Arcokerde,Brazil,Arcoverde,3407216
SilvaeJardkm,Brazil,Silva Jardim,3447591
pdrano,Italy,Adrano,2525769
Schönkbqrg,Germany,Schöneberg,2836788
Osh,Kyrgyzstan,Osh,1527534
Cqarence-Roskrand,Canada,Clarence-Rockland,5923101
Potreriblor,Honduras,Potrerillos,3603330
tladstone,Australia,Gladstone,2165478
Al Mihyā,Egypt,Al Minyā,360686
Kānhhla,India,Kāndhla,1268138
Coypacán,Mexico,Coyoacán,3530139
ueneral Triay,Philippines,General Trias,1713014
ngajapé Miri,Brazil,Igarapé Miri,3398343
Fleury-lesjAubrnis,France,Fleury-les-Aubrais,3018280
Bulekamba,Indonesia,Bulakamba,1647834
cwawa,Tanzania,Vwawa,148942
Saiit-ogrève,France,Saint-Égrève,2980636
Hāfizābāl,Pakistan,Hāfizābād,1177384
Dorjl,United States,Doral,4153471
dalita,Philippines,Malita,1702649
Medoord,United States,Medford,4943629	 5126518	 5740099
Wigxton Magva,United Kingdom,Wigston Magna,2633936
Vīxāvadar,India,Vīsāvadar,1253105
Vaoutino,Russia,Vatutino,476368
San Javizj,Chile,San Javier,3872154
Kalulurhi,Zambia,Kalulushi,914959
gaspiysk,Russia,Kaspiysk,551847
Suxubim,Brazil,Surubim,3387115
Barezino,Russia,Balezino,579432
Rethymnv,Greece,Rethymno,254352
zverath,Germany,Overath,2855859
ealford,United Kingdom,Salford,2638671
Brettmn,Germany,Bretten,2944200
Pszczona,Poland,Pszczyna,3087705
benago,Italy,Senago,3166753
Djssa-soumé,Benin,Dassa-Zoumé,2394711
Gori,Georgia,Gori,614455
Qxngyuan,China,Qingyuan,1797945
Dania Beagx,United States,Dania Beach,4152772
Guntakad Jznctiot,India,Guntakal Junction,1270670
Bplvadin,Turkey,Bolvadin,320879
Taubzté,Brazil,Taubaté,3446682
Barreirihhzs,Brazil,Barreirinhas,3406196
Xuanuhou,China,Xuanzhou,1788081
N’dasatando,Angola,N’dalatando,2239076
Tomple Ciyy,United States,Temple City,5401469
Nyogan,Russia,Nyagan,1496476
Slyudoznka,Russia,Slyudyanka,2016422
Ouledxgimoun,Algeria,Ouled Mimoun,2484846
Bhzdrāchalqm,India,Bhadrāchalam,1276328
Nāndūra Bdzurl,India,Nāndūra Buzurg,1261932
Cali,Colombia,Cali,3687925
Mf Tho,Vietnam,Mỹ Tho,1574023
neldānga,India,Beldānga,1276548
Baykqnyr,Kazakhstan,Baykonyr,1521368
Khadkk,India,Khadki,1267195
Schobfhexm,Germany,Schopfheim,2836413
Manaujary,Madagascar,Mananjary,1061335
Rzosevelt,United States,Roosevelt,5134323
Arteviis’k,Ukraine,Artemivs’k,713174
Jandfāla,India,Jandiāla,1269269
HamptonxPare,Australia,Hampton Park,2163990
Okkney,United Kingdom,Orkney,8299623
Ghormahh,Afghanistan,Ghormach,1141089
Pxxteareas,Spain,Ponteareas,3112761
emitlfield,United States,Smithfield,5224949
NocyrasSuperfore,Italy,Nocera Superiore,3172243
Budarett cIII. kurület,Hungary,Budapest III. kerület,7284842
xlolet de Mar,Spain,Lloret de Mar,3118212
Kānkhrāpāga,India,Kānchrāpāra,1268715
Sovetsf,Russia,Sovetsk,490067	 490068
xandıklı,Turkey,Sandıklı,301911
Golpen Vallay,United States,Golden Valley,5028163
Alfafaw,Spain,Alfafar,2522057
Nkgano,Japan,Nagano,1856215
heslan,Russia,Beslan,576697
aüttlpngen,Germany,Püttlingen,2851584
welson,United Kingdom,Nelson,2641810
aartaban,Myanmar,Martaban,1310460
Nogades,Mexico,Nogales,3522696	 4004886
Jerusaldm,Israel,Jerusalem,281184
Taşnöprü,Turkey,Taşköprü,739061
wa Ela,Sri Lanka,Ja Ela,1242835
Gumnhães,Brazil,Guanhães,3461958
Tirhanimunu,Morocco,Tirhanimîne,2527645
Nueka yerona,Cuba,Nueva Gerona,3545867
Toufon,France,Toulon,2972328
Prescott,United States,Prescott,5309842
Beekonak,Turkey,Beykonak,305680
Tumaa,Sweden,Tumba,2667094
Tebecik,Turkey,Tepecik,738858
Castro-Urditljs,Spain,Castro-Urdiales,3125621
Sur,Oman,Sur,286245
Bou Tgebis,Algeria,Bou Tlelis,2502239
Lukaka,Zambia,Lusaka,909137
Tofyo,Japan,Tokyo,1850147
Anjab,India,Anjad,1278588
Haldoani,India,Haldwani,1270498
jizhake ibālakudi,India,Kizhake Chālakudi,1266452
Cuimoio,Mozambique,Chimoio,1049261
Jocstmnango,Guatemala,Jocotenango,3595171
Kwang Binz,Vietnam,Kwang Binh,1582886
Bgñga,Philippines,Bañga,1727400
Denkanckpta,India,Denkanikota,1273272
ChernayadRbchoa,Russia,Chernaya Rechka,8504946
uhimtaurgarh,India,Chittaurgarh,1274040
Xiaoliqgwea,China,Xiaolingwei,1790100
veşan,Turkey,Keşan,743439
Nmvnvolyns’k,Ukraine,Novovolyns’k,699035
Budareze I. kerület,Hungary,Budapest I. kerület,7284844
Levdo le Tejida,Mexico,Lerdo de Tejada,3524391
Hellevmltsluis,Netherlands,Hellevoetsluis,2754454
Tundumy,Tanzania,Tunduma,149402
Madaoua,Niger,Madaoua,2441530
Whfngarei,New Zealand,Whangarei,6230919
Anpalaha,Madagascar,Antalaha,1071296
Oqega,Russia,Onega,515246
Uden,Netherlands,Uden,2746005
menghazi,Libya,Benghazi,88319
Ciezm,Spain,Cieza,2519425
Covbeplà xe Llobregat,Spain,Cornellà de Llobregat,3124569
Bierus,Poland,Bieruń,3103365
Brlgorod,Russia,Belgorod,578072
Ichari,Nepal,Ithari,1283329
Piskept,Uzbekistan,Piskent,1512986
Phalauna,India,Phalauda,1259818
Āsdsa,Ethiopia,Āsasa,343413
Unsão,Brazil,União,3385745
Wādi,India,Wādi,1253041
ooroon,Philippines,Boroon,1722356
Sammpmish,United States,Sammamish,5809402
Cyxito,Angola,Caxito,2242001
Ilo,Peru,Ilo,3938415
Nagvto,Japan,Nagato,1899102
Piaāni,India,Pilāni,1259693
Pinaqalayar,Philippines,Pinamalayan,1693618
Cqcuta,Colombia,Cúcuta,3685533
Akitasni,Japan,Akitashi,2113719
Kisváhda,Hungary,Kisvárda,718739
Tanazhochō,Japan,Tanashichō,1850693
Mmjalgaon,India,Mājalgaon,1263684
Huehletenango,Guatemala,Huehuetenango,3595416
Hpldensleeen I,Germany,Haldensleben I,2911584
Gürpıkar,Turkey,Gürpınar,746234
Tequisiuiapal,Mexico,Tequisquiapan,3515796
Tecamaphaljo,Mexico,Tecamachalco,3516188
Sxékwsfehérvár,Hungary,Székesfehérvár,3044774
Cabo,Brazil,Cabo,3404545
Hāper,India,Hāpur,1270393
Hude,Germany,Hude,2898079
Zanzcbar,Tanzania,Zanzibar,148730
Belev,Turkey,Belek,321580
Blqyoveshchessk,Russia,Blagoveshchensk,576116	 2026609
Marl,Germany,Marl,2873263
Mexzco,Philippines,Mexico,1699805
Iba,Philippines,Iba,1711437
Kampeniec Pobolxki,Ukraine,Kamieniec Podolski,706950
CândedomMota,Brazil,Cândido Mota,3467542
Pittsburg,United States,Pittsburg,4277241	 5383465
Mkunt Vernou,United States,Mount Vernon,4245152	 5127835	 5163799	 5804127
Lindd-a-Vulha,Portugal,Linda-a-Velha,2267067
Pjrojpur,Bangladesh,Pirojpur,1185138
mansdale,United States,Lansdale,5197159
Malpasagudram,India,Mallasamudram,1264047
Brezbo,Slovakia,Brezno,3060950
Kuytyshev,Russia,Kuybyshev,1501141
Livinuswon,United States,Livingston,5100572
Sahulpa,United States,Sapulpa,4550881
uuebo,Democratic Republic of the Congo,Luebo,210939
uatcle Creek,United States,Battle Creek,4985153
MörfeldenvWalidorf,Germany,Mörfelden-Walldorf,3272460
Settdt,Morocco,Settat,2537406
Tycámtaro deyCodawlos,Mexico,Tacámbaro de Codallos,3982693
Lucon,Philippines,Lupon,1704968
Peñaratda,Philippines,Peñaranda,1694075
Songre Grende,Trinidad and Tobago,Sangre Grande,3573732
BajxBaj,India,Baj Baj,1277723
Cnhokia,United States,Cahokia,4234969
Ceangsha,China,Changsha,1815577
minterthyr,Switzerland,Winterthur,2657970
Security-Wiiffiezd,United States,Security-Widefield,7262349
Nizhcezamsk,Russia,Nizhnekamsk,521118
Rikazb,China,Rikaze,1279715
Most,Czech Republic,Most,3070291
Kobureti,Georgia,Kobuleti,613762
La qrange,United States,La Grange,4204230	 4898846
Dūrā,Palestinian Territory,Dūrā,284011
uingchuan,China,Yingchuan,1785566
‘Afryn,Syria,‘Afrīn,174186
Barreirm,Portugal,Barreiro,2271071
Aspen Hjdl,United States,Aspen Hill,4347553
Jeqicho,Palestinian Territory,Jericho,284899
Hunedpara,Romania,Hunedoara,675918
Bhulan,India,Bhuban,1275818
Ödebiş,Turkey,Ödemiş,303700
Baxzwalnagar,Pakistan,Bahāwalnagar,1183883	 1332083
Taieei,Taiwan,Taipei,1668341
Āulāgora,India,Āmlāgora,1278774
wumhāri,India,Kumhāri,1265660
wci Castrllo,Italy,Aci Castello,2525792
Tucsou,United States,Tucson,5318313
Norilsd,Russia,Norilsk,1497337
Grabpuw,South Africa,Grabouw,3367513
Petkrukan,Indonesia,Petarukan,1631271
bikter Garden,United States,Winter Garden,4178550
Laiyalg,China,Laiyang,1804586
Khenrfra,Morocco,Khenifra,2544333
Prlya,Indonesia,Praya,1630662
Sainu-Michcl-uur-Orse,France,Saint-Michel-sur-Orge,2977952
Urstnów,Poland,Ursynów,6545326
Tayiramutn,Brazil,Tapiramutá,3446866
Picss,Peru,Picsi,3693645
ookmak,Ukraine,Tokmak,691469
Thành Phố Tnca Bình,Vietnam,Thành Phố Hòa Bình,1580830
BanuTalat Nuu,Thailand,Ban Talat Nua,1117656
Salvhdor,Brazil,Salvador,3450554
Chetpkt,India,Chetput,1274394
Dargeçgt,Turkey,Dargeçit,317587
Wilkebrcek,Belgium,Willebroek,2783632
Jwuf-lm-Moutier,France,Jouy-le-Moutier,3012162
Indgre,India,Indore,1269743
iaborone,Botswana,Gaborone,933773
Yahggu,China,Yanggu,1787601
Anbyŏnkŭp,North Korea,Anbyŏn-ŭp,1879672
Kwsmayo,Somalia,Kismayo,55671
San viooanni la tunty,Italy,San Giovanni la Punta,2523460
Bvlohirsmk,Ukraine,Bilohirs’k,712587
Otxumwa,United States,Ottumwa,4870380
Ŭiju,North Korea,Ŭiju,2039623
Siaowu,China,Shaowu,1795857
jichelstpdt,Germany,Michelstadt,2871284
uzrren Tzwnship,United States,Warren Township,8299577
Mldenine,Tunisia,Medenine,2469473
Gulbargq,India,Gulbarga,1270752
Ruudu,Namibia,Rundu,3353383
Dozoj,Bosnia and Herzegovina,Doboj,3201984
Kondopoba,Russia,Kondopoga,545626
Vezirjögrü,Turkey,Vezirköprü,738167
Çankhya,Turkey,Çankaya,6955677
AlkḨasakad,Syria,Al Ḩasakah,173811
Tursuizoda,Tajikistan,Tursunzoda,1220301
Cà Man,Vietnam,Cà Mau,1586443
Quisqweya,Dominican Republic,Quisqueya,3494121
gad woden am Taunys,Germany,Bad Soden am Taunus,2953339
Huarvl,Peru,Huaral,3939285
Mmdang,Papua New Guinea,Madang,2091996
Serrd Negja,Brazil,Serra Negra,3447718
Ockota,Poland,Ochota,763442
Brucdsal,Germany,Bruchsal,2943560
eanton,United States,Canton,4186213	 4932214	 4987990	 5149222
Arpçoiawa da Semra,Brazil,Araçoiaba da Serra,3471849
oinuba,United States,Dinuba,5343171
ceachtree Cdty,United States,Peachtree City,4215110
qasa rrande,United States,Casa Grande,5288636
Qinxgang,China,Qinggang,2035325
Kaship,Russia,Kashin,551986
Mranggex,Indonesia,Mranggen,1634954
eicálvaro,Spain,Vicálvaro,3106054
Sarstegt,Germany,Sarstedt,2841386
Radrlzzekl am aodensee,Germany,Radolfzell am Bodensee,2850954
Nīlziri,India,Nīlgiri,1261402
ylebaig Besar,Malaysia,Klebang Besar,1761242
Nalym,Russia,Nadym,1498087
Tukuyx,Tanzania,Tukuyu,149437
Jolieo,United States,Joliet,4898015
Djanbād,India,Dhanbād,1272979
dabaeski,Turkey,Babaeski,751371
Adh hhayd,United Arab Emirates,Adh Dhayd,292953
Ālangāmam,India,Ālangāyam,1279061
zarlow,United Kingdom,Marlow,2643003
Ataca,Turkey,Alaca,752278
Kurlalan,Turkey,Kurtalan,305532
Sirhisd,India,Sirhind,1256087
Bbrabai,Indonesia,Barabai,1650064
Bārpipur,India,Bāruipur,1276832
Zerbsh,Germany,Zerbst,2804748
Attlecoro,United States,Attleboro,4929399
Gölbakı,Turkey,Gölbaşı,314136
Arua,Uganda,Arua,235039
wjibo,Burkina Faso,Djibo,2361177
Hornccurch,United Kingdom,Hornchurch,6690863
Bafajg,Cameroon,Bafang,2235196
Tiiret,Algeria,Tiaret,2476897
Isnā,Egypt,Isnā,355449
srades,Montserrat,Brades,7266440
San Buentvmnturc,Mexico,San Buenaventura,3987500	 8858089
Villa deloRosurix,Colombia,Villa del Rosario,3665913
Lieyi,China,Linyi,1803318
Tabmiz,Iran,Tabriz,113646
Socpaczew,Poland,Sochaczew,758682
Āvavi,India,Āvadi,1278130
SimpxnghEmpat,Malaysia,Simpang Empat,1734576
Aebasar,Kazakhstan,Atbasar,1526038
Pulmr di Montehhmaro,Italy,Palma di Montechiaro,2523908
wrayasu,Japan,Urayasu,1849186
Kızılcaxaman,Turkey,Kızılcahamam,743051
Monnbrison,France,Montbrison,2992890
jiomx Falls,United States,Sioux Falls,5231851
iialeah,United States,Hialeah,4158476
Pisz,Poland,Pisz,762120
Kibondf,Tanzania,Kibondo,157960
Chālūr,Iran,Chālūs,139223
roseto wegaz Abruzzi,Italy,Roseto degli Abruzzi,3168936
Leer,Germany,Leer,2879697
LnArbaazzaït Iratien,Algeria,L’Arbaa Naït Irathen,2491042
Bima,Indonesia,Bima,1648759
Podolrsk,Russia,Podol’sk,508101
Pruszków,Poland,Pruszków,761228
Inuyema,Japan,Inuyama,1861528
Gatesvicle,United States,Gatesville,4693150
Andbrson,United States,Anderson,4569298	 4917592
Cararano,Italy,Casarano,2525207
Xihyu,China,Xinyu,1788508
Stendkl,Germany,Stendal,2827479
Forw Hunt,United States,Fort Hunt,4046704
Karajoban,Turkey,Karaçoban,310004
Raocho SantzeMarwarita,United States,Rancho Santa Margarita,5386082
Tonk,India,Tonk,1254241
bobol’sk,Russia,Tobol’sk,1489530
Jyväskyls,Finland,Jyväskylä,655194
Pekhawar,Pakistan,Peshawar,1168197
VũnggTàu,Vietnam,Vũng Tàu,1562414
eahsrkatiya,India,Nahorkatiya,1262140
Hantū,Japan,Hanyū,1863173
Hahar,Norway,Hamar,3154084
Powezia,Italy,Pomezia,3170342
Mehlvilfe,United States,Mehlville,4397962
Édhssa,Greece,Édessa,736357
Iida,Japan,Iida,1861864
Snrūr,India,Sirūr,1256025
Camjjducaia,Brazil,Camanducaia,3468023
Rānin,India,Rānia,1258477
qcottsbluff,United States,Scottsbluff,5699404
Rastutt,Germany,Rastatt,2850257
Bdng Bo Dostrect,Thailand,Bang Bo District,1620919
Thmmdstown,Australia,Thomastown,2146827
aarlovo,Bulgaria,Karlovo,730565
Le GranfqQwevilly,France,Le Grand-Quevilly,3003952
Kurno,Poland,Kutno,3094170
Kcbili,Tunisia,Kebili,2468018
Wyangotte,United States,Wyandotte,5015599
Busapesz uV. kirület,Hungary,Budapest IV. kerület,7284831
Itugūr,India,Irugūr,1269690
Mwnsa,India,Mānsa,1263622	 1263623
til-li,North Korea,Sil-li,1870413
Snn Diego,United States,San Diego,5391811
Kmrkrade,Netherlands,Kerkrade,2752923
Gbesham,United States,Gresham,5729485
Sjdan,France,Sedan,2975349
Bangbuakong,Thailand,Bang Pakong,1619363
Karsiyāng,India,Kārsiyāng,1267675
Spn Rafayl,Costa Rica,San Rafael,3621687	 3621689
Tarfes,France,Tarbes,2973385
Sigver Sprixg,United States,Silver Spring,4369596
HamburgcMitoe,Germany,Hamburg-Mitte,2911288
Bocheia,Poland,Bochnia,775758
Michzrinak,Russia,Michurinsk,527191
Gqane,Cuba,Guane,3557758
Balabakivo,Russia,Balabanovo,579529
Porjoo,Finland,Porvoo,660561
Padae,India,Padam,1260942
Cxstaños,Mexico,Castaños,4015022
Leján,Argentina,Luján,3430988
oberasbjch,Germany,Oberasbach,2861402
Huber Hefgbts,United States,Huber Heights,4514746
Roddepooft,South Africa,Roodepoort,936374
Itabiqito,Brazil,Itabirito,3460954
Nālchitz,Bangladesh,Nālchiti,1185156
Slekan,Indonesia,Sleman,1626754
Titāgprh,India,Titāgarh,1254309
Itidi,Tanzania,Itigi,158904
Fredrikztfd,Norway,Fredrikstad,3156529
oarkhej,India,Sarkhej,1257149
Wauvau,United States,Wausau,5278120
Mariwilla,Colombia,Marinilla,3675263
Czttage Lakd,United States,Cottage Lake,5790971
Chunvkiy,Russia,Chunskiy,1507636
aacitán Bermúdeb,Argentina,Capitán Bermúdez,3862738
Tunyi,Bangladesh,Tungi,1185098
Jinoteje,Nicaragua,Jinotepe,3618926
Prhdsntópolis,Brazil,Prudentópolis,3452216
Kololenskoyy,Russia,Kolomenskoye,546244
Mscur,Turkey,Mucur,304196
Kvlsnoarmeysk,Russia,Krasnoarmeysk,542463	 542464
Jmaçaba,Brazil,Joaçaba,3459869
La Crvz,Mexico,La Cruz,4002745
Keswnck,Canada,Keswick,5991370
lecatovice,Czech Republic,Neratovice,3069844
Shachp,China,Shache,1280037
Lonvjing,China,Longjing,2035966
Nacareth,Israel,Nazareth,294098
Myspowice,Poland,Mysłowice,3091232
Härfösand,Sweden,Härnösand,2707684
Heinxla,Finland,Heinola,658288
Valpayhiso,United States,Valparaiso,4927537
Bhiwadd,India,Bhiwadi,7279747
CrhvebCoeur,United States,Creve Coeur,4382837
Dajaeón,Dominican Republic,Dajabón,3508952
Menemeni,Greece,Meneméni,735215
urasnodon,Ukraine,Krasnodon,704403
Tlajomulcbjde qúuiga,Mexico,Tlajomulco de Zúñiga,3981467
Dhnmār,Yemen,Dhamār,76184
isassk-Dal’niy,Russia,Spassk-Dal’niy,2016187
Itazira,Brazil,Itabira,3460960
Pioboliqggo,Indonesia,Probolinggo,1630634
Banling,United States,Banning,5326032
wanfa Helena de Goqán,Brazil,Santa Helena de Goiás,3450206
Savmnqinna,Finland,Savonlinna,637292
Pantelkmon,Romania,Pantelimon,671382
Gfrodishhhe,Russia,Gorodishche,559654
Pula,Croatia,Pula,3192224
Aki,Japan,Aki,1865449
Ararangwá,Brazil,Araranguá,3471772
xongnim,North Korea,Songnim,1869446
Feicheni,China,Feicheng,1789176	 1811440
Xobocotla,Mexico,Xoxocotla,3514398
tisterna di Lpcina,Italy,Cisterna di Latina,3178631
Lisburm,United Kingdom,Lisburn,2644411
Soro,India,Soro,1255705
Marilau,Philippines,Marilao,1700917
LepPeroeuy-sur-darne,France,Le Perreux-sur-Marne,3002965
Asti,Italy,Asti,3182714
Guaramixin,Brazil,Guaramirim,3461914
eondo,Democratic Republic of the Congo,Bondo,218253
Crpstal,United States,Crystal,5023571
Kasar,Pakistan,Kasūr,1174625
Köienick,Germany,Köpenick,2885656
Souaa,Brazil,Sousa,3387202
Belmort,United States,Belmont,4930282	 5327455
bovara,Italy,Novara,3172189
Ashikagn,Japan,Ashikaga,1865005
Almmogorzo,United States,Alamogordo,5454627
Guaydraaerín,Bolivia,Guayaramerín,3915350
Vtlliers-surcMurne,France,Villiers-sur-Marne,2968142
Luoao,Philippines,Lubao,1705440
MyrtleuGnove,United States,Myrtle Grove,4165519
FortdMylrs,United States,Fort Myers,4155995
Theniit ee Had,Algeria,Theniet el Had,2476915
Nvisy-le-Spc,France,Noisy-le-Sec,2990187
Hanchucn,China,Hanchuan,1808977
Bodhav,India,Bodhan,1275391
fan Miguen el nlto,Mexico,San Miguel el Alto,3985323
Clayjon,Australia,Clayton,2171400	 8347717
Cudtoias,Portugal,Custoias,2740174
Hachinohr,Japan,Hachinohe,2130203
kusainābld,India,Husainābād,1269862
Buugge,Belgium,Brugge,2800931
Drammkn,Norway,Drammen,3159016
Beyhiedüzü,Turkey,Beylikdüzü,6947640
Forjia,Italy,Formia,3176738
Nmgornyy,Russia,Nagornyy,472732
Jalāllur,India,Jalālpur,1269435	 1269439
Aïn Bevda,Algeria,Aïn Beïda,2508287
Akflkot,India,Akalkot,1279147
Łask,Poland,Łask,3093902
Pátzsuaro,Mexico,Pátzcuaro,3993179
Sq Kaeo,Thailand,Sa Kaeo,1606807
Bunmchotey,Netherlands,Bunschoten,2758104
Kandafār,Afghanistan,Kandahār,1138336
Shlifke,Turkey,Silifke,300808
Ginhr,Ethiopia,Ginir,336454
Beavnrcrdek,United States,Beavercreek,4506008
wagoloan,Philippines,Tagoloan,1684379
citake,Japan,Mitake,1856938
zharaborwa,South Africa,Phalaborwa,965528
Ringsteq,Denmark,Ringsted,2614764
Esjen,Belgium,Essen,2798615
Yŏng-dhng,South Korea,Yŏng-dong,1832566
xoaraci,Brazil,Coaraci,3466041
Bebdyats’k,Ukraine,Berdyans’k,712451
ElfFasher,Sudan,El Fasher,379555
Pmosek,Czech Republic,Prosek,3067433
La bi,Vietnam,La Gi,1577995
Masctepe,Nicaragua,Masatepe,3617725
Qalansuba,Israel,Qalansuwa,293896
